goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/counter0-8            	 1250780	       848.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1452314	       807.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1381796	       814.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1493142	       817.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1412158	       803.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1505977	       827.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1456964	       834.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter0-8            	 1329954	       893.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1118 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1101432	      1072 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1068 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1154 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1092 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1259 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	  997502	      1101 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1109 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1077 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/counter1-8            	 1000000	      1315 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2398245	       470.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2661206	       450.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2803140	       425.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2840218	       418.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2918197	       409.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2773744	       466.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2608042	       445.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2814009	       414.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2879175	       520.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/ctxOK-8               	 2525049	       434.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9194802	       135.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 8711444	       135.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 8823986	       127.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9329536	       124.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9604526	       124.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9977606	       130.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 8626360	       133.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 8899447	       133.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9599862	       127.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/exit-8                	 9027139	       150.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5637529	       191.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 6213410	       189.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 6437341	       190.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5896042	       210.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 6192567	       192.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 6569353	       185.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5893357	       185.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 6495738	       199.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 6327310	       208.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHost-8         	 5512196	       193.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2820762	       460.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 3047041	       401.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 3008088	       394.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 3063325	       421.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2651787	       407.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 3045223	       385.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 3117702	       394.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2870917	       398.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 3112875	       410.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/includeHostJS-8       	 2629090	       516.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopCount-8           	  378733	      2885 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  444162	      2742 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  437740	      2769 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  445488	      2839 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  436268	      3059 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  369330	      2926 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  423757	      2762 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  426394	      2757 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  441302	      2794 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCount-8           	  422901	      2741 ns/op	     144 B/op	       9 allocs/op
BenchmarkTpl/loopCountBreak-8      	  420004	      2846 ns/op	     144 B/op	       9 allocs/op
